City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Boiro,ES,42.65,-8.9,55.38,81,94,6.08,overcast clouds
170,Emba,KZ,48.8264,58.1442,18.32,93,99,16.58,overcast clouds
171,Alboraya,ES,39.5,-0.35,52.77,90,0,3.0,clear sky
172,Mut,TR,36.6439,33.4389,49.37,50,99,3.02,overcast clouds
173,Mahebourg,MU,-20.4081,57.7,74.25,94,20,5.75,few clouds
174,Talnakh,RU,69.4865,88.3972,13.21,91,100,11.97,overcast clouds
175,Minbu,MM,20.1833,94.8833,86.67,47,16,4.09,few clouds
176,Faanui,PF,-16.4833,-151.75,82.51,70,58,14.65,broken clouds
177,Thompson,CA,55.7435,-97.8558,19.56,73,100,3.44,overcast clouds
178,Yoichi,JP,43.2039,140.7703,46.06,59,14,6.53,few clouds
179,Venta,LT,56.2,22.7,32.58,82,99,9.35,overcast clouds
180,Rock Sound,BS,24.9,-76.2,73.67,51,3,4.52,clear sky
181,Lago Da Pedra,BR,-4.3333,-45.1667,73.2,98,100,3.11,light rain
182,Talara,PE,-4.5772,-81.2719,72.9,84,100,12.93,overcast clouds
183,Guerrero Negro,MX,27.9769,-114.0611,63.34,72,80,8.61,broken clouds
184,Tazovskiy,RU,67.4667,78.7,16.65,95,100,13.78,overcast clouds
185,Ulaanbaatar,MN,47.9077,106.8832,24.93,33,40,4.47,scattered clouds
186,Naze,JP,28.3667,129.4833,63.52,86,100,9.24,overcast clouds
187,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,94,20,4.56,few clouds
188,Butaritari,KI,3.0707,172.7902,80.64,73,17,10.25,few clouds
189,Opuwo,NA,-18.0607,13.84,66.38,52,90,3.6,overcast clouds
190,Cairns,AU,-16.9167,145.7667,91.11,66,97,10.36,overcast clouds
191,Sisimiut,GL,66.9395,-53.6735,18.05,80,46,5.75,scattered clouds
192,Nador,MA,35.174,-2.9287,57.45,100,75,4.61,mist
193,Saint-Francois,FR,46.4154,3.9054,48.67,56,100,4.61,overcast clouds
194,Katherine,AU,-14.4667,132.2667,95.32,38,0,4.61,clear sky
195,Ranot,TH,7.7777,100.3213,85.77,64,6,3.96,clear sky
196,White Rock,CA,49.0164,-122.8026,55.6,85,90,5.99,overcast clouds
197,Pontes E Lacerda,BR,-15.2261,-59.3353,72.75,96,91,2.84,overcast clouds
198,Stornoway,GB,58.2093,-6.3865,41.94,94,100,1.14,fog
199,Kentau,KZ,43.5206,68.5094,36.28,81,100,20.8,light rain
200,Avera,US,33.194,-82.5271,60.31,48,6,7.18,clear sky
201,Provideniya,RU,64.3833,-173.3,17.71,67,0,11.18,clear sky
202,Coahuayana,MX,18.7333,-103.6833,69.35,77,0,1.97,clear sky
203,Aksarka,RU,66.5606,67.7975,29.46,98,100,6.91,light snow
204,Buchanan,LR,5.8808,-10.0467,78.85,91,98,4.14,light rain
205,Kaitangata,NZ,-46.2817,169.8464,61.97,77,97,5.75,overcast clouds
206,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,18.41,scattered clouds
207,Namatanai,PG,-3.6667,152.4333,85.62,66,80,10.67,broken clouds
208,Volzhskiy,RU,48.7858,44.7797,35.11,69,62,24.25,broken clouds
209,Ulaangom,MN,49.9811,92.0667,17.83,81,11,2.59,few clouds
210,Oni,GE,42.5794,43.4425,17.89,76,1,7.54,clear sky
211,Iqaluit,CA,63.7506,-68.5145,11.93,85,100,2.3,fog
212,Bilgram,IN,27.1833,80.0333,85.78,10,2,3.38,clear sky
213,Todos Santos,MX,23.45,-110.2167,66.65,83,67,7.72,broken clouds
214,Victoria,HK,22.2855,114.1577,72.18,79,98,8.01,overcast clouds
215,Asau,RO,46.4333,26.4,32.92,63,87,6.64,overcast clouds
216,Ahipara,NZ,-35.1667,173.1667,71.58,66,0,10.42,clear sky
217,Lata,PT,40.1629,-8.3327,57.07,77,100,3.13,overcast clouds
218,Dunedin,NZ,-45.8742,170.5036,60.58,79,88,4.97,overcast clouds
219,Zhigansk,RU,66.7697,123.3711,7.86,84,54,5.48,broken clouds
220,Buritis,BR,-15.6178,-46.4233,73.31,58,40,1.95,scattered clouds
221,Robertson,US,36.5167,-86.8667,48.88,46,100,3.44,overcast clouds
222,Caborca,MX,30.5838,-111.101,67.69,23,100,9.46,overcast clouds
223,Ponta Do Sol,PT,32.6667,-17.1,62.71,78,72,7.58,broken clouds
224,Collie,AU,-33.3667,116.15,71.83,62,100,12.93,overcast clouds
225,Ranong,TH,9.9658,98.6348,85.93,65,32,0.56,scattered clouds
226,Kakonko,TZ,-3.2828,30.9642,61.2,96,65,2.1,light rain
227,Norman Wells,CA,65.282,-126.8329,10.44,61,40,3.44,scattered clouds
228,Qui Nhon,VN,13.7667,109.2333,81.59,71,80,13.22,broken clouds
229,Ambilobe,MG,-13.2,49.05,71.96,96,9,3.18,clear sky
230,Samarai,PG,-10.6167,150.6667,84.34,70,99,6.82,overcast clouds
231,Cayenne,GF,4.9333,-52.3333,81.09,1,75,4.0,mist
232,Mantua,IT,45.1667,10.7833,45.64,88,65,5.01,broken clouds
233,Pevek,RU,69.7008,170.3133,-6.77,87,20,1.74,few clouds
234,Wukari,NG,7.85,9.7833,72.48,17,8,2.86,clear sky
235,Churapcha,RU,62.0025,132.4325,25.29,87,100,3.38,overcast clouds
236,Tezu,IN,27.9167,96.1667,84.87,31,33,3.42,scattered clouds
237,Ogbomosho,NG,8.133,4.25,80.78,97,43,2.37,scattered clouds
238,San Jose,US,37.3394,-121.895,57.07,71,40,16.11,scattered clouds
239,Sinnamary,GF,5.3833,-52.95,78.1,83,100,13.11,overcast clouds
240,Amapa,BR,1.0,-52.0,71.38,100,100,0.67,overcast clouds
241,Muncie,US,40.1934,-85.3864,31.86,72,0,3.44,clear sky
242,Pangody,RU,65.85,74.4859,24.76,93,100,17.18,overcast clouds
243,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.77,84,90,4.94,overcast clouds
244,Sorong,ID,-0.8833,131.25,84.49,68,90,8.12,overcast clouds
245,Mao,ES,39.8885,4.2658,52.36,100,0,5.75,clear sky
246,San Francisco,US,37.7749,-122.4194,57.09,77,75,14.97,broken clouds
247,Muros,ES,42.7762,-9.0603,55.69,81,88,7.65,overcast clouds
248,Tarko-Sale,RU,64.9225,77.785,19.54,95,99,16.13,overcast clouds
249,Panara,IN,22.0667,78.55,87.51,12,12,9.89,few clouds
250,Arraial Do Cabo,BR,-22.9661,-42.0278,74.68,90,100,9.71,light rain
251,Narrabri,AU,-30.3167,149.7833,69.89,83,100,11.5,light rain
252,Panaba,MX,21.2833,-88.2667,72.07,66,0,13.6,clear sky
253,Iringa,TZ,-7.7667,35.7,57.9,94,90,5.19,overcast clouds
254,Kodiak,US,57.79,-152.4072,38.71,87,100,4.61,mist
255,Wloszczowa,PL,50.8526,19.9659,47.17,89,48,6.71,scattered clouds
