City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
661,Tondano,ID,82.49,overcast clouds,1.3038,124.9112,Villa Bella
669,Mahuva,IN,86.16,clear sky,21.0914,71.7622,Hotel Blue Diamond.
674,Banda Aceh,ID,83.68,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
676,Miri,MY,84.9,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
680,Santa Marta,CO,82.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
685,Kudahuvadhoo,MV,81.5,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
701,Nabire,ID,85.96,broken clouds,-3.3667,135.4833,Hotel Nusantara I
702,Boa Vista,BR,80.67,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
705,Srivardhan,IN,82.45,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
708,Alyangula,AU,89.08,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
709,Sungaipenuh,ID,80.55,clear sky,-2.0833,101.3833,Penginapan Citra Alam
731,Maumere,ID,83.75,overcast clouds,-8.6199,122.2111,Sylvia Hotel
736,Tanda,IN,84.43,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
740,Khilchipur,IN,86.54,few clouds,24.0333,76.5667,Hotel Uday Palace
745,Dharampur,IN,85.96,scattered clouds,20.5333,73.1833,Motel 11
765,Forbesganj,IN,84.51,clear sky,26.3,87.25,होटल
771,Kadayanallur,IN,82.85,clear sky,9.0833,77.35,peer mohamed rahumathullah
777,Kota Belud,MY,80.15,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
780,Tura,IN,81.97,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
784,Kankan,GN,85.98,overcast clouds,10.3854,-9.3057,Hotel Bate
811,Karratha,AU,88.02,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
833,Tambacounda,SN,85.78,broken clouds,13.7539,-13.7586,
834,Hervey Bay,AU,85.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
856,Bougouni,ML,83.82,clear sky,11.417,-7.479,Non Stop
858,Tadine,NC,81.28,overcast clouds,-21.55,167.8833,
865,Bintulu,MY,85.12,overcast clouds,3.1667,113.0333,900 Boutique INN
870,Ranau,MY,82.56,overcast clouds,5.9538,116.6641,The Second Room
873,Kiunga,PG,80.28,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
874,Dumraon,IN,87.17,clear sky,25.55,84.15,Pawan traval agencay
880,Suba,PH,83.26,overcast clouds,10.8438,121.0102,Jarnchi Pension House
889,Denpasar,ID,80.26,light rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
890,Naifaru,MV,82.42,clear sky,5.4444,73.3657,Naifaru Residence Guest House
895,Chambar,PK,82.8,clear sky,25.2931,68.812,RIZWAN COMMUNICATION CHAMBER
896,Cadereyta,MX,83.17,scattered clouds,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
898,Myanaung,MM,89.85,few clouds,18.2833,95.3167,Aung Thu Guest House
916,San Policarpo,PH,83.08,clear sky,12.1791,125.5072,Agapita M. Nicart
921,Sibolga,ID,85.03,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
