City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,Talnakh,98,RU,2022-03-28 03:41:42,93,69.4865,88.3972,7.81,5.73
373,Mantua,1,IT,2022-03-28 03:41:27,59,45.1667,10.7833,43.84,3.33
374,San Juan,13,AR,2022-03-28 03:41:43,23,-31.5375,-68.5364,71.42,5.86
375,Kralendijk,40,BQ,2022-03-28 03:41:43,83,12.15,-68.2667,78.78,16.11
376,Kautokeino,100,NO,2022-03-28 03:41:43,93,69.0125,23.0412,9.61,8.86
377,Estevan,75,CA,2022-03-28 03:41:44,59,49.1334,-102.9842,30.54,15.32
378,Rosarito,63,MX,2022-03-28 03:41:44,78,32.3333,-117.0333,59.09,4.23
379,Kormilovka,98,RU,2022-03-28 03:41:45,95,55.0026,74.1028,16.11,4.65
380,Taltal,0,CL,2022-03-28 03:41:45,77,-25.4,-70.4833,65.48,3.44
381,Pato Branco,0,BR,2022-03-28 03:41:45,93,-26.2286,-52.6706,55.31,4.63
382,Mbala,100,ZM,2022-03-28 03:41:46,93,-8.8402,31.3659,58.23,5.41
383,Zharkent,81,KZ,2022-03-28 03:41:46,66,44.1628,80.0,44.87,7.61
384,Broome,75,US,2022-03-28 03:41:47,66,42.2506,-75.833,20.86,14.97
385,Neuquen,0,AR,2022-03-28 03:38:30,76,-38.9516,-68.0591,55.29,4.61
386,San Policarpo,51,PH,2022-03-28 03:41:47,84,12.1791,125.5072,81.64,12.5
387,Torzhok,100,RU,2022-03-28 03:41:48,74,57.0436,34.9622,21.38,10.07
388,Halifax,18,CA,2022-03-28 03:39:03,89,44.6453,-63.5724,39.2,13.8
389,Henties Bay,35,NA,2022-03-28 03:41:48,89,-22.116,14.2845,63.75,5.03
390,Cochrane,0,CA,2022-03-28 03:41:41,53,51.1834,-114.4687,45.64,8.05
391,Okha,67,RU,2022-03-28 03:41:49,75,53.5739,142.9478,19.94,20.42
392,La Palma,100,US,2022-03-28 03:41:49,72,33.8464,-118.0467,60.91,8.05
393,Panalingaan,65,PH,2022-03-28 03:41:50,79,8.7842,117.4231,81.28,0.76
394,Choya,100,RU,2022-03-28 03:41:50,88,52.0108,86.5467,38.8,0.54
395,Mineral Del Monte,0,MX,2022-03-28 03:41:51,40,20.1333,-98.6667,46.58,4.74
396,Panguna,71,PG,2022-03-28 03:41:51,89,-6.3164,155.4848,75.02,2.35
